cMVAv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.5932, 0.6932, "0.739343+0.397036*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.6932, 0.7932, "1.66763+-0.9421*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.7932, 0.8932, "0.935658+-0.0192884*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.8932, 0.9498, "0.406246+0.573424*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.9498, 0.9631, "5.13085+-4.40089*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.9631, 0.9765, "-2.61249+3.63913*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.9765, 0.9899, "6.25779+-5.44462*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.9899, 1.0033, "2.09662+-1.241*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 1.0033, 1.1, "0.85727"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -1.1, -0.90455, "0.778528"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -0.90455, -0.69375, "2.46471+1.86995*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -0.69375, -0.50235, "1.18714+0.0284016*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -0.50235, -0.33035, "0.899852+-0.543492*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -0.33035, -0.15845, "0.846975+-0.703556*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -0.15845, 0.01345, "1.16253+1.28799*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.01345, 0.18535, "1.18889+-0.671263*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.18535, 0.35725, "1.14432+-0.430803*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.35725, 0.4932, "0.928494+0.173322*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.4932, 0.5932, "0.9455+0.13884*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.5932, 0.6932, "0.743585+0.479224*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.6932, 0.7932, "1.60286+-0.760361*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.7932, 0.8932, "0.856619+0.180444*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.8932, 0.9498, "0.13298+0.990607*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.9498, 0.9631, "5.57199+-4.73587*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.9631, 0.9765, "-3.25388+4.42815*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.9765, 0.9899, "8.62369+-7.73526*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.9899, 1.0033, "-0.883694+1.86913*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 1.0033, 1.1, "0.998366"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, -1.1, -0.90455, "1.4536"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, -0.90455, -0.69375, "0.0389516+-1.55365*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, -0.69375, -0.50235, "0.953548+-0.23531*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, -0.50235, -0.33035, "1.18916+0.233701*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, -0.33035, -0.15845, "1.04541+-0.201441*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, -0.15845, 0.01345, "1.06995+-0.046515*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.01345, 0.18535, "1.0761+-0.503374*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.18535, 0.35725, "1.09267+-0.592782*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.35725, 0.4932, "0.826231+0.153025*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.4932, 0.5932, "0.53404+0.745466*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.5932, 0.6932, "1.13788+-0.27248*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.6932, 0.7932, "1.34599+-0.572683*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.7932, 0.8932, "1.26286+-0.467883*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.8932, 0.9498, "0.798349+0.0521682*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.9498, 0.9631, "2.19345+-1.41667*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.9631, 0.9765, "-1.21195+2.1192*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.9765, 0.9899, "5.18799+-4.43475*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.9899, 1.0033, "4.57832+-3.81886*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 1.0033, 1.1, "0.751665"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, -1.1, -0.90455, "0.116253"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, -0.90455, -0.69375, "4.44684+4.75854*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, -0.69375, -0.50235, "1.31955+0.250722*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, -0.50235, -0.33035, "1.45798+0.526304*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, -0.33035, -0.15845, "1.09066+-0.585628*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, -0.15845, 0.01345, "1.3419+1.00001*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.01345, 0.18535, "1.36704+-0.868791*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.18535, 0.35725, "1.2788+-0.392721*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.35725, 0.4932, "1.10228+0.101388*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.4932, 0.5932, "0.880395+0.551272*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.5932, 0.6932, "0.847473+0.606772*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.6932, 0.7932, "2.05885+-1.14074*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.7932, 0.8932, "1.11159+0.0534791*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.8932, 0.9498, "0.425816+0.821254*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.9498, 0.9631, "6.50091+-5.57493*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.9631, 0.9765, "-3.33957+4.64258*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.9765, 0.9899, "7.95491+-6.92371*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.9899, 1.0033, "2.56562+-1.47943*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 1.0033, 1.1, "0.882092"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, -1.1, -0.90455, "1.12409"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, -0.90455, -0.69375, "0.794623+-0.540626*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, -0.69375, -0.50235, "0.842525+-0.471577*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, -0.50235, -0.33035, "1.10483+0.0505694*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, -0.33035, -0.15845, "0.926491+-0.489266*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, -0.15845, 0.01345, "1.08989+0.541991*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.01345, 0.18535, "1.1078+-0.789651*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.18535, 0.35725, "1.02793+-0.358724*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.35725, 0.4932, "0.886936+0.0359463*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.4932, 0.5932, "0.750554+0.31247*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.5932, 0.6932, "0.721155+0.362031*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.6932, 0.7932, "1.60209+-0.908797*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.7932, 0.8932, "0.906135+-0.031392*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.8932, 0.9498, "0.402883+0.532034*x"
